customer_id,date_of_birth,current_address,number_of_dependents,annual_income,employment_status,time_at_current_job_months,marital_status,education_level,time_at_current_address_months,account_id,account_type,credit_limit,current_balance,date_opened,date_closed,payment_history_status,total_payments_made,months_since_last_delinquency,is_defaulted,bureau_score_at_opening,bankruptcies,public_records
1940815,1983-07-30,"USNS Henry
FPO AA 47655",1,65215.93,Self-Employed,100,Divorced,Bachelor,168,10322868.0,Personal Loan,15626.17,-145.77,2019-07-25,2024-04-16,On Time,229.0,37.0,False,460.0,0.0,0.0
1940815,1983-07-30,"USNS Henry
FPO AA 47655",1,65215.93,Self-Employed,100,Divorced,Bachelor,168,2474199.0,Credit Card,14276.17,-145.72,2019-11-28,,On Time,130.0,45.0,True,557.0,0.0,0.0
1940815,1983-07-30,"USNS Henry
FPO AA 47655",1,65215.93,Self-Employed,100,Divorced,Bachelor,168,12604939.0,Personal Loan,14017.8,-145.75,2020-11-11,2024-04-24,On Time,129.0,49.0,True,631.0,0.0,0.0
12657432,1993-10-18,"015 Molly Bridge Apt. 842
Sparksview, OK 52770",2,35080.45,Unemployed,40,Divorced,High School,77,8146448.0,Auto Loan,12308.46,6523.6,2019-03-14,2022-07-11,60-90 Days Late,88.0,40.0,True,340.0,1.0,0.0
12657432,1993-10-18,"015 Molly Bridge Apt. 842
Sparksview, OK 52770",2,35080.45,Unemployed,40,Divorced,High School,77,15500103.0,Auto Loan,12717.48,6523.6,2019-10-21,,60-90 Days Late,89.0,42.0,True,332.0,0.0,1.0
10174833,1981-05-05,"971 Brett Junctions Suite 052
East Rebecca, NV 55244",1,54456.19,Self-Employed,60,Married,PhD,54,3161455.0,Personal Loan,13642.46,3974.79,2018-05-26,2022-02-03,60-90 Days Late,36.0,9.0,True,495.0,0.0,1.0
10174833,1981-05-05,"971 Brett Junctions Suite 052
East Rebecca, NV 55244",1,54456.19,Self-Employed,60,Married,PhD,54,11935312.0,Credit Card,14387.88,3974.8,2018-10-13,2021-12-17,60-90 Days Late,77.0,9.0,True,641.0,0.0,1.0
10174833,1981-05-05,"971 Brett Junctions Suite 052
East Rebecca, NV 55244",1,54456.19,Self-Employed,60,Married,PhD,54,15480329.0,Credit Card,14698.59,3974.79,2018-03-19,2022-02-14,60-90 Days Late,93.0,9.0,True,658.0,0.0,1.0
16497775,1987-04-19,"8015 Hughes Mountain Apt. 832
South Frederickton, NV 84053",2,24253.52,Self-Employed,49,Married,Bachelor,133,9854284.0,Personal Loan,19791.67,4203.44,2023-02-06,2024-09-07,30-60 Days Late,207.0,33.0,True,849.0,2.0,0.0
16497775,1987-04-19,"8015 Hughes Mountain Apt. 832
South Frederickton, NV 84053",2,24253.52,Self-Employed,49,Married,Bachelor,133,16025748.0,Personal Loan,19623.05,4203.29,2020-07-13,2025-03-26,30-60 Days Late,215.0,32.0,False,849.0,2.0,0.0
16497775,1987-04-19,"8015 Hughes Mountain Apt. 832
South Frederickton, NV 84053",2,24253.52,Self-Employed,49,Married,Bachelor,133,4498959.0,Personal Loan,20702.9,4203.29,2020-02-15,,30-60 Days Late,228.0,34.0,False,849.0,2.0,0.0
16497775,1987-04-19,"8015 Hughes Mountain Apt. 832
South Frederickton, NV 84053",2,24253.52,Self-Employed,49,Married,Bachelor,133,4094484.0,Personal Loan,21302.86,4203.28,2022-04-04,2025-03-26,30-60 Days Late,165.0,23.0,True,809.0,2.0,0.0
6164702,1970-06-06,"572 Jonathan Path Suite 716
Brianland, CT 99697",0,30439.93,Employed,4,Single,PhD,90,5760965.0,Credit Card,13084.87,2668.37,2015-11-13,2023-09-09,On Time,51.0,42.0,True,623.0,2.0,0.0
6164702,1970-06-06,"572 Jonathan Path Suite 716
Brianland, CT 99697",0,30439.93,Employed,4,Single,PhD,90,10502595.0,Personal Loan,14477.93,2668.34,2016-12-04,2024-01-06,On Time,29.0,47.0,True,681.0,1.0,0.0
6164702,1970-06-06,"572 Jonathan Path Suite 716
Brianland, CT 99697",0,30439.93,Employed,4,Single,PhD,90,12508580.0,Mortgage,13345.14,2668.42,2015-09-21,,On Time,17.0,47.0,True,731.0,1.0,0.0
10055941,1969-12-29,"02024 Bell Island Apt. 766
Jeanettestad, DC 70971",1,78150.26,Self-Employed,167,Divorced,High School,85,8789127.0,Mortgage,22980.71,3079.77,2022-06-27,2025-01-17,60-90 Days Late,299.0,45.0,False,826.0,2.0,0.0
10055941,1969-12-29,"02024 Bell Island Apt. 766
Jeanettestad, DC 70971",1,78150.26,Self-Employed,167,Divorced,High School,85,13472087.0,Personal Loan,24194.62,3079.68,2022-10-22,2024-07-14,60-90 Days Late,264.0,43.0,False,708.0,2.0,0.0
647269,1989-10-24,"7234 Molina Hills
North Andrea, VI 25758",4,79242.99,Unemployed,107,Married,Bachelor,15,7886901.0,Mortgage,17355.76,5864.06,2017-02-17,,30-60 Days Late,106.0,21.0,False,455.0,2.0,1.0
647269,1989-10-24,"7234 Molina Hills
North Andrea, VI 25758",4,79242.99,Unemployed,107,Married,Bachelor,15,12088799.0,Mortgage,17882.83,5864.06,2017-09-28,2022-12-24,30-60 Days Late,179.0,26.0,True,499.0,2.0,1.0
12404636,1968-01-23,"4533 Ashlee Villages
Mikehaven, MP 51409",2,58121.83,Self-Employed,135,Single,Master,136,8750238.0,Mortgage,24998.73,3845.08,2024-08-02,2021-09-24,On Time,183.0,13.0,True,522.0,1.0,1.0
11409015,1973-10-03,"76055 Meghan Inlet Suite 497
Brittneyburgh, MS 84751",1,52613.16,Self-Employed,118,Married,High School,75,1019311.0,Mortgage,11296.65,4168.02,2018-08-13,,On Time,211.0,59.0,True,667.0,1.0,1.0
11409015,1973-10-03,"76055 Meghan Inlet Suite 497
Brittneyburgh, MS 84751",1,52613.16,Self-Employed,118,Married,High School,75,1809421.0,Mortgage,11160.43,4168.01,2018-07-28,,On Time,221.0,59.0,False,712.0,0.0,1.0
7953818,1982-10-12,"78568 Mike Crescent
West Michael, DC 69095",0,61270.56,Employed,215,Divorced,Master,93,10048748.0,Personal Loan,13593.2,3127.24,2018-03-18,,60-90 Days Late,246.0,34.0,True,609.0,2.0,0.0
7953818,1982-10-12,"78568 Mike Crescent
West Michael, DC 69095",0,61270.56,Employed,215,Divorced,Master,93,12860767.0,Credit Card,14022.34,3127.24,2017-09-04,2025-09-11,60-90 Days Late,178.0,14.0,True,607.0,2.0,0.0
13594838,1987-08-29,"74249 Amber Corners
Jenniferview, OR 56312",1,80723.87,Self-Employed,46,Divorced,Master,78,15695355.0,Mortgage,20945.27,4144.24,2021-05-05,2024-10-17,On Time,63.0,46.0,False,630.0,2.0,0.0
13594838,1987-08-29,"74249 Amber Corners
Jenniferview, OR 56312",1,80723.87,Self-Employed,46,Divorced,Master,78,4144417.0,Mortgage,19195.74,4144.06,2020-08-23,2024-08-30,On Time,60.0,47.0,False,526.0,2.0,1.0
13594838,1987-08-29,"74249 Amber Corners
Jenniferview, OR 56312",1,80723.87,Self-Employed,46,Divorced,Master,78,2330937.0,Mortgage,18299.33,4144.25,2020-03-25,2024-10-19,30-60 Days Late,57.0,45.0,False,685.0,2.0,1.0
14633273,1990-12-23,"720 Vazquez Mountain Apt. 918
West Wayne, MI 77343",2,49638.96,Employed,216,Single,Master,30,4652810.0,Credit Card,16024.93,7308.97,2024-10-29,2025-09-16,On Time,237.0,55.0,False,664.0,2.0,0.0
14633273,1990-12-23,"720 Vazquez Mountain Apt. 918
West Wayne, MI 77343",2,49638.96,Employed,216,Single,Master,30,912758.0,Mortgage,19004.45,7307.95,2024-08-12,,On Time,240.0,47.0,False,840.0,2.0,0.0
14633273,1990-12-23,"720 Vazquez Mountain Apt. 918
West Wayne, MI 77343",2,49638.96,Employed,216,Single,Master,30,2359150.0,Mortgage,20872.8,7309.67,2025-09-13,,On Time,244.0,30.0,False,798.0,2.0,0.0
